"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","13","4","","0"
"0","Registration","0","1","1","0","New customer registration attempt with missing required fields","0"
"0","","0","Log in a customer and verify products in the cart","1","0","Add products to the cart and verify cart updates","0"
"0","Registration","0","1","1","0","Successful registration of a customer with unique email","0"
"0","","0","New customer registration","1","0","new customer successful registration","0"
"0","","0","Log in a customer and verify products in the cart","1","0","sort products by price in descending order and verify the highest price","0"
"0","","0","New customer registration","2","0","customer login","0"
"0","","0","Log in a customer and verify products in the cart","1","0","sort products by price in ascending order and search for a product","0"
"0","Registration","0","1","1","0","New customer registration attempt with duplicate email","0"
